"","weather","HOUR"
"359","sunny",16
"360","sunny",16
"361","rain",17
"362","rain",18
"363","rain",18
"364","rain",18
"365","rain",18
"366","rain",18
"367","sunny",19
"368","sunny",20
"369","sunny",20
"370","sunny",21
"371","sunny",21
"372","sunny",21
"373","rain",22
"374","rain",22
"375","sunny",23
"376","sunny",23
"377","sunny",23
"378","sunny",23
"379","sunny",23
"380","sunny",2
"381","sunny",2
"382","sunny",2
"383","sunny",5
"384","sunny",7
"385","sunny",7
"386","sunny",8
"387","sunny",8
"388","sunny",9
"389","sunny",9
"390","sunny",9
"391","sunny",9
"392","sunny",9
"393","sunny",10
"394","sunny",10
"395","sunny",10
"396","sunny",11
"397","sunny",11
"398","sunny",12
"399","sunny",12
"400","sunny",12
"401","sunny",12
"402","sunny",13
"403","sunny",13
"404","sunny",13
"405","sunny",13
"406","sunny",13
"407","sunny",13
"408","sunny",13
"409","sunny",14
"410","sunny",14
"411","sunny",14
"412","sunny",15
"413","sunny",15
"414","sunny",15
"415","sunny",15
"416","sunny",15
"417","sunny",15
"418","sunny",16
"419","sunny",16
"420","sunny",16
"421","sunny",16
"422","sunny",16
"423","sunny",16
"424","sunny",17
"425","sunny",17
"426","sunny",17
"427","sunny",17
"428","sunny",17
"429","sunny",18
"430","sunny",18
"431","sunny",18
"432","sunny",18
"433","sunny",18
"434","sunny",19
"435","sunny",20
"436","sunny",20
"437","sunny",20
"438","sunny",21
"439","sunny",21
"440","sunny",21
"441","sunny",21
"442","sunny",21
"443","sunny",21
"444","sunny",22
"445","sunny",22
"446","sunny",23
"447","sunny",23
"448","sunny",23
"449","sunny",23
"450","sunny",23
"451","rain",0
"452","rain",0
"453","rain",0
"454","rain",2
"455","rain",2
"456","rain",2
"457","rain",2
"458","rain",2
"459","rain",4
"460","sunny",5
"461","sunny",5
"462","sunny",8
"463","sunny",8
"464","sunny",8
"465","rain",9
"466","rain",9
"467","rain",9
"468","rain",9
"469","sunny",10
"470","sunny",10
"471","sunny",11
"472","sunny",11
"473","sunny",12
"474","sunny",12
"475","sunny",12
"476","sunny",12
"477","sunny",13
"478","sunny",13
"479","sunny",13
"480","sunny",13
"481","sunny",13
"482","sunny",13
"483","sunny",13
"484","rain",14
"485","rain",14
"486","rain",14
"487","rain",14
"488","rain",14
"489","rain",14
"490","rain",14
"491","rain",15
"492","rain",15
"493","rain",15
"494","sunny",16
"495","sunny",16
"496","sunny",17
"497","sunny",17
"498","sunny",17
"499","sunny",17
"500","sunny",18
"501","sunny",18
"502","sunny",19
"503","sunny",19
